Ticker,Symbol,Security Name,Exchange,Sector,Industry,Market Cap,Avg Volume
SGHC,SGHC,Super Group (SGHC) Limited Ordinary Shares,NYSE,Unknown,Unknown,,3792976
MAC,MAC,Macerich Company (The) Common Stock,NYSE,Unknown,Unknown,,3787964
PRMB,PRMB,Primo Brands Corporation Class A Common Stock,NYSE,Unknown,Unknown,,3787682
BCE,BCE,"BCE, Inc. Common Stock",NYSE,Unknown,Unknown,,3784028
SYF,SYF,Synchrony Financial Common Stock,NYSE,Unknown,Unknown,,3778520
TENB,TENB,"Tenable Holdings, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,3778088
TTEK,TTEK,"Tetra Tech, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,3777964
DOCN,DOCN,"DigitalOcean Holdings, Inc. Common Stock",NYSE,Unknown,Unknown,,3775942
ETR,ETR,Entergy Corporation Common Stock,NYSE,Unknown,Unknown,,3775914
OTIS,OTIS,Otis Worldwide Corporation Common Stock ,NYSE,Unknown,Unknown,,3759070
OPCH,OPCH,"Option Care Health, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,3756524
EOG,EOG,"EOG Resources, Inc. Common Stock",NYSE,Unknown,Unknown,,3750242
BBIO,BBIO,"BridgeBio Pharma, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,3744580
PENN,PENN,"PENN Entertainment, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,3733454
SEDG,SEDG,"SolarEdge Technologies, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,3730512
EL,EL,"Estee Lauder Companies, Inc. (The) Common Stock",NYSE,Unknown,Unknown,,3723538
APTV,APTV,Aptiv PLC Ordinary Shares,NYSE,Unknown,Unknown,,3715836
LION,LION,Lionsgate Studios Corp Common Shares,NYSE,Unknown,Unknown,,3686296
MTCH,MTCH,"Match Group, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,3659542
OBDC,OBDC,Blue Owl Capital Corporation Common Stock,NYSE,Unknown,Unknown,,3652366
WELL,WELL,Welltower Inc. Common Stock,NYSE,Unknown,Unknown,,3649670
REAL,REAL,"The RealReal, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,3646452
SYY,SYY,Sysco Corporation Common Stock,NYSE,Unknown,Unknown,,3639434
PLD,PLD,"Prologis, Inc. Common Stock",NYSE,Unknown,Unknown,,3621360
DG,DG,Dollar General Corporation Common Stock,NYSE,Unknown,Unknown,,3620340
MET,MET,"MetLife, Inc. Common Stock",NYSE,Unknown,Unknown,,3619924
CRNX,CRNX,"Crinetics Pharmaceuticals, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,3618710
LBRT,LBRT,Liberty Energy Inc. Class A common stock,NYSE,Unknown,Unknown,,3618498
ONB,ONB,Old National Bancorp - Common Stock,NASDAQ,Unknown,Unknown,,3583300
CG,CG,The Carlyle Group Inc. - Common Stock,NASDAQ,Unknown,Unknown,,3577500
CHTR,CHTR,"Charter Communications, Inc. - Class A Common Stock",NASDAQ,Unknown,Unknown,,3576108
QSR,QSR,Restaurant Brands International Inc. Common Shares,NYSE,Unknown,Unknown,,3572270
BGC,BGC,"BGC Group, Inc. - Class A Common Stock",NASDAQ,Unknown,Unknown,,3566860
DUK,DUK,Duke Energy Corporation (Holding Company) Common Stock,NYSE,Unknown,Unknown,,3564410
